Key,Description,en,it
commReply_s_attackingTSD,A text reply in the communications menu.,attacking your TSD target!,Attacco il tuo bersaglio TSD!
commReply_s_attackingRadar,A text reply in the communications menu.,attacking your radar target!,Attacco il tuo bersaglio radar!
commReply_s_attackingTGP,A text reply in the communications menu.,attacking your TGP target!,Attacco il tuo bersaglio TGP!
commReply_s_attackingARAD,A text reply in the communications menu.,attacking your ARAD target!,Attacco il tuo bersaglio ARAD!
commReply_s_noWingmenForAttack,A text reply in the communications menu.,No wingmen available for attack.,Nessun gregario disponibile per l'attacco.
commReply_s_noTarget,A text reply in the communications menu.,No target selected.,Nessun bersaglio selezionato.
commReply_s_noAirfield,A text reply in the communications menu.,No airfield available.,Nessun aeroporto disponibile.
commReply_s_cancellingATC,A text reply in the communications menu.,Cancelling ATC request.,Cancellazione richiesta ATC.
commReply_s_acknowledged,A text reply in the communications menu.,Acknowledged,Ricevuto
commReply_s_wingmenRTB,A text reply in the communications menu.,Your wingmen will RTB!,Il tuo gregario farà RTB!
commReply_s_clearedVerticalLanding,A text reply in the communications menu.,Cleared for vertical landing!,Autorizzato all'atterraggio verticale!
commReply_s_clearedVerticalTakeoff,A text reply in the communications menu.,Cleared for vertical take off!,Autorizzato per il decollo verticale!
commReply_s_landingDenied,A text reply in the communications menu.,Landing denied!,Atterraggio non autorizzato!
commReply_s_takeoffDenied,A text reply in the communications menu.,Take off denied!,Decollo non autorizzato!
commReply_s_reply_noPrevAtc,A text reply in the communications menu.,No previously contacted ATC available.,Nessun ATC contattato precedentemente disponibile.
MFDOptionPage:Wingmen / Combat,Title of an MFD option page,Wingmen / Combat,Gregario / Combattimento
MFDOption:Attack Target,Label of an MFD option,Attack Target,Attacca Bersaglio
MFDOption:Disengage,Label of an MFD option,Disengage,Disingaggia
MFDOption:Engage,Label of an MFD option,Engage,Ingaggia
MFDOptionPage:Wingmen / Flight,Title of an MFD option page,Wingmen / Flight,Gregario / Volo
MFDOption:Orbit Here,Label of an MFD option,Orbit Here,Orbita qui
MFDOption:Form Up,Label of an MFD option,Form Up,In formazione
MFDOption:Spread Close,Label of an MFD option,Spread Close,Distanza Vicino
MFDOption:Spread Med,Label of an MFD option,Spread Med,Distanza Media
MFDOption:Spread Far,Label of an MFD option,Spread Far,Distanza Lontano
MFDOption:Go Refuel,Label of an MFD option,Go Refuel,Vai a Rifornire
MFDOption:RTB,Label of an MFD option,RTB,RTB
MFDOption:RTB & Re-arm,Label of an MFD option,RTB & Re-arm,RTB & Ri-arma
MFDOptionPage:Wingmen / Equipment,Title of an MFD option page,Wingmen / Equipment,Gregario / Equipaggiamento
MFDOption:Radar On,Label of an MFD option,Radar On,Radar Acceso
MFDOption:Radar Off,Label of an MFD option,Radar Off,Radar Spento
MFDOptionPage:Wingmen,Title of an MFD option page,Wingmen,Gregario
MFDOption:Combat,Label of an MFD option,Combat,Combattimento
MFDOption:Flight,Label of an MFD option,Flight,Volo
MFDOption:Equipment,Label of an MFD option,Equipment,Equipaggiamento
MFDOptionPage:Ground Crew,Title of an MFD option page,Ground Crew,Ground Crew
MFDOption:Request Re-arm,Label of an MFD option,Request Re-arm,Richiedo Ri-armo
MFDOptionPage:ATC,Title of an MFD option page,ATC,ATC
MFDOption:Take Off,Label of an MFD option,Take Off,Decollo
MFDOption:Landing,Label of an MFD option,Landing,Atterraggio
MFDOption:Cancel Request,Label of an MFD option,Cancel Request,Cancella Richiesta
MFDOption:Vert T/O,Label of an MFD option,Vert T/O,Vert T/O
MFDOption:Vert Landing,Label of an MFD option,Vert Landing,Atterraggio Vert
MFDOption:Last Contact,Label of an MFD option,Last Contact,Ultimo Contatto
MFDOptionPage:Contact Tower,Title of an MFD option page,Contact Tower,Contatta Torre
MFDOptionPage:AWACS,Title of an MFD option page,AWACS,AWACS
MFDOption:Bogey Dope,Label of an MFD option,Bogey Dope,Bogey Dope
MFDOption:Picture,Label of an MFD option,Picture,Picture
MFDOption:Request RTB Vector,Label of an MFD option,Request RTB Vector,Richiedo Vettore RTB
MFDOptionPage:Comms,Title of an MFD option page,Comms,Comms
MFDOption:Wingmen,Label of an MFD option,Wingmen,Gregario
MFDOption:Ground,Label of an MFD option,Ground,Ground
MFDOption:ATC,Label of an MFD option,ATC,ATC
MFDOption:AWACS,Label of an MFD option,AWACS,AWACS
next,,Next,Prossimo
prev,,Prev,Precedente
ripple_single,Label when a rapid-fire weapon is set to only fire one shot at a time.,SINGLE,Singolo
wmui_ripple,Option title for selecting a rocket/missile's ripple (rapid fire) rate.,RIPPLE,Raffica
wmui_rippleTooltip,Tooltip for button to cycle a weapon's ripple (rapid fire) rate.,Cycle Ripple Rates,Ciclo Rateo Raffica
s_masterArmed,Master armed label in EQUIP MFD page,MASTER ARMED,MASTER ARMATO
s_masterDisarmed,Master disarmed label in EQUIP MFD page,MASTER DISARMED,MASTER DISARMATO
s_eq_armed,Armed label for single equip in EQUIP MFD page,ARMED,ARMATO
s_eq_disarmed,Disarmed label for single equip in EQUIP MFD page,DISARMED,"DISARMATO "
s_eq_jettison,Jettison label for single equip in EQUIP MFD page,JETTISON,SGANCIO
s_eqMode_0,Equip MFD page mode label,CONFIG,CONFIG
s_eqMode_1,Equip MFD page mode label,ARMING,ARMA
s_eqMode_2,Equip MFD page mode label,JETTISON,SGANCIO
AV-42C_mfd_cam:B3,Label for an MFD button (short!).,PREV,PREC
AV-42C_mfd_cam:B5,Label for an MFD button (short!).,NEXT,PROX
dashMissionDisplay_noMissions,Label in the mission objectives display when the current mission has no objectives.,No objectives.,Nessun obiettivo
AV-42C_mfd_mission:B1,Label for an MFD button (short!).,WPT,WPT
AV-42C_mfd_mission:B1_tooltip,Tooltip for an MFD button.,Set Waypoint,Imposta Waypoint
AV-42C_mfd_mission:B3,Label for an MFD button (short!).,NEXT,PROSSIMO
AV-42C_mfd_mission:B3_tooltip,Tooltip for an MFD button.,Next Objective,Prossimo Obiettivo
AV-42C_mfd_mission:B5,Label for an MFD button (short!).,PREV,PREC
AV-42C_mfd_mission:B5_tooltip,Tooltip for an MFD button.,Previous Objective,Obiettivo Precedente
AV-42C_mfd_home:B1,Label for an MFD button (short!).,NAV,NAV
AV-42C_mfd_home:B1_tooltip,Tooltip for an MFD button.,Navigation,Navigazione
AV-42C_mfd_home:B2,Label for an MFD button (short!).,OBJ,OBJ
AV-42C_mfd_home:B2_tooltip,Tooltip for an MFD button.,Objectives,Obiettivo
AV-42C_mfd_home:B3,Label for an MFD button (short!).,CAM,CAM
AV-42C_mfd_home:B3_tooltip,Tooltip for an MFD button.,External Cameras,Camera Esterna
AV-42C_mfd_home:B4,Label for an MFD button (short!).,TGP,TGP
AV-42C_mfd_home:B4_tooltip,Tooltip for an MFD button.,Targeting,Puntamento
AV-42C_mfd_home:B5,Label for an MFD button (short!).,GPS,GPS
AV-42C_mfd_home:B5_tooltip,Tooltip for an MFD button.,GPS Targets,Bersagli GPS
AV-42C_mfd_home:R2,Label for an MFD button (short!).,S-CAM,S-CAM
AV-42C_mfd_home:R2_tooltip,Tooltip for an MFD button.,Spectator Camera,Camera Spettatore
AV-42C_mfd_home:R3,Label for an MFD button (short!).,GAME,GIOCO
AV-42C_mfd_home:R3_tooltip,Tooltip for an MFD button.,Game Menu,Menu Gioco
AV-42C_mfd_home:R4,Label for an MFD button (short!).,LOG,LOG
AV-42C_mfd_home:R4_tooltip,Tooltip for an MFD button.,Flight Log,Registro Volo
AV-42C_mfd_home:L2,Label for an MFD button (short!).,EQUIP,EQUIP
AV-42C_mfd_home:L2_tooltip,Tooltip for an MFD button.,Mounted Equipment,Equipaggiamento Montato
AV-42C_mfd_home:L3,Label for an MFD button (short!).,OPTION,OPZIONI
AV-42C_mfd_home:L3_tooltip,Tooltip for an MFD button.,Options,Opzioni
AV-42C_mfd_home:L4,Label for an MFD button (short!).,COMMS,COMMS
AV-42C_mfd_home:L4_tooltip,Tooltip for an MFD button.,Communications,Comunicazioni
AV-42C_mfd_home:T5,Label for an MFD button (short!).,ARAD,ARAD
AV-42C_mfd_home:T5_tooltip,Tooltip for an MFD button.,Antiradar Attack Display,Display Attacco Antiradar
AV-42C_mfd_home:L5,Label for an MFD button (short!).,CMS,CMS
AV-42C_mfd_home:L5_tooltip,Tooltip for an MFD button.,Countermeasure System,Sistema Contromisure
AV-42C_mfd_flightLog:R2_tooltip,Tooltip for an MFD button.,Scroll Up,Scorri Su
AV-42C_mfd_flightLog:R4_tooltip,Tooltip for an MFD button.,Scroll Down,Scorri Giù
AV-42C_mfd_flightLog:R5_tooltip,Tooltip for an MFD button.,Scroll Bottom,Scorri in Fondo
AV-42C_mfd_flightLog:B3_tooltip,Tooltip for an MFD button.,Dump log to file.,Salva registro su file.
AV-42C_mfd_flyCam:B2,Label for an MFD button (short!).,START,INIZIA
AV-42C_mfd_flyCam:B2_tooltip,Tooltip for an MFD button.,Start Camera,Avvia Camera
AV-42C_mfd_flyCam:B3,Label for an MFD button (short!).,END,FINE
AV-42C_mfd_flyCam:B3_tooltip,Tooltip for an MFD button.,End Camera,Ferma Camera
AV-42C_mfd_flyCam:B1,Label for an MFD button (short!).,VIEW,VISTA
AV-42C_mfd_flyCam:B1_tooltip,Tooltip for an MFD button.,Toggle Preview,Attiva/Disattiva Anteprima
AV-42C_mfd_flyCam:R1,Label for an MFD button (short!).,RANDM,RANDM
AV-42C_mfd_flyCam:R1_tooltip,Tooltip for an MFD button.,Toggle Random,Attiva/Disattiva Random
AV-42C_mfd_flyCam:L3,Label for an MFD button (short!).,FOV:,FOV:
AV-42C_mfd_flyCam:L3_tooltip,Tooltip for an MFD button.,Toggle FOV,Cambia FOV
AV-42C_mfd_flyCam:L4,Label for an MFD button (short!).," ",
AV-42C_mfd_flyCam:L4_tooltip,Tooltip for an MFD button.,Toggle AutoFOV,Attiva/Disattiva AutoFOV
AV-42C_mfd_flyCam:L5,Label for an MFD button (short!).," ",
AV-42C_mfd_flyCam:L5_tooltip,Tooltip for an MFD button.,Toggle Audio Mode,Attiva/Disattiva Audio
AV-42C_mfd_flyCam:R2,Label for an MFD button (short!).,MODE,MODE
AV-42C_mfd_flyCam:R2_tooltip,Tooltip for an MFD button.,Toggle Cam Mode,Cambia Modalità Camera
AV-42C_mfd_flyCam:R3,Label for an MFD button (short!).,LOOK,LOOK
AV-42C_mfd_flyCam:R3_tooltip,Tooltip for an MFD button.,Toggle Look Mode,Cambia modalità Vista
AV-42C_mfd_flyCam:R5,Label for an MFD button (short!).," ",
AV-42C_mfd_flyCam:R5_tooltip,Tooltip for an MFD button.,Toggle Auto-Reset,Attiva/Disattiva Auto-Reset
AV-42C_mfd_flyCam:B5,Label for an MFD button (short!).," ",
AV-42C_mfd_flyCam:B5_tooltip,Tooltip for an MFD button.,Cycle Reset Time,Ciclo Tempo Reset
AV-42C_mfd_flyCam:T3,Label for an MFD button (short!).,SS,SS
AV-42C_mfd_flyCam:T3_tooltip,Tooltip for an MFD button.,4K Screenshot,Screenshot 4K
AV-42C_mfd_hardpoints:R2_tooltip,Tooltip for an MFD button.,HP Gun,HP Gun
AV-42C_mfd_hardpoints:L4_tooltip,Tooltip for an MFD button.,HP 1,HP 1
AV-42C_mfd_hardpoints:L3_tooltip,Tooltip for an MFD button.,HP 2,HP 2
AV-42C_mfd_hardpoints:R3_tooltip,Tooltip for an MFD button.,HP 3,HP 3
AV-42C_mfd_hardpoints:R4_tooltip,Tooltip for an MFD button.,HP 4,HP 4
AV-42C_mfd_hardpoints:L5_tooltip,Tooltip for an MFD button.,HP 5,HP 5
AV-42C_mfd_hardpoints:R5_tooltip,Tooltip for an MFD button.,HP 6,HP 6
AV-42C_mfd_hardpoints:L2,Label for an MFD button (short!).,MODE:,MODE:
AV-42C_mfd_hardpoints:L2_tooltip,Tooltip for an MFD button.,Toggle Mode,Cambia Modalità
NONE,,NONE,NONE
AV-42C_mfd_hardpointInfoPage:R1_tooltip,Tooltip for an MFD button.,Return to Equip,Ritorna all'Equipaggiamento
AV-42C_mfd_hardpointInfoPage:B2_tooltip,Tooltip for an MFD button.,Toggle Arming,Cambia Armamento
AV-42C_mfd_hardpointInfoPage:B5_tooltip,Tooltip for an MFD button.,Toggle Jettison,Cambia Sgancio
AV-42C_mfd_antiRad:T5,Label for an MFD button (short!).,SOI,SOI
AV-42C_mfd_antiRad:T5_tooltip,Tooltip for an MFD button.,Sensor of Interest,Sensore di Interesse
AV-42C_mfd_antiRad:R4,Label for an MFD button (short!).,HUD,HUD
AV-42C_mfd_antiRad:R4_tooltip,Tooltip for an MFD button.,HUD Mode,Modalità HUD
AV-42C_mfd_antiRad:R5_tooltip,Tooltip for an MFD button.,Declutter,Declutter
AV-42C_mfd_cmsPage:L4_tooltip,Tooltip for an MFD button.,Release Mode,Modalità Rilascio
AV-42C_mfd_cmsPage:B2,Label for an MFD button (short!).,-,-
AV-42C_mfd_cmsPage:B2_tooltip,Tooltip for an MFD button.,- Release Rate,- Rateo Rilascio
AV-42C_mfd_cmsPage:B4,Label for an MFD button (short!).,+,+
AV-42C_mfd_cmsPage:B4_tooltip,Tooltip for an MFD button.,+ Release Rate,+ Rateo Rilascio
AV-42C_mfd_map:T2,Label for an MFD button (short!).,GPS,GPS
AV-42C_mfd_map:T2_tooltip,Tooltip for an MFD button.,GPS Targets,Bersaglio GPS
AV-42C_mfd_map:R2,Label for an MFD button (short!).,ZOOM+,ZOOM+
AV-42C_mfd_map:R3,Label for an MFD button (short!).,ZOOM-,ZOOM-
AV-42C_mfd_map:R4,Label for an MFD button (short!).,UP,UP
AV-42C_mfd_map:R5,Label for an MFD button (short!).,DOWN,
AV-42C_mfd_map:B4,Label for an MFD button (short!).,LEFT,
AV-42C_mfd_map:B5,Label for an MFD button (short!).,RIGHT,
AV-42C_mfd_map:R1,Label for an MFD button (short!).,RESET,
AV-42C_mfd_map:R1_tooltip,Tooltip for an MFD button.,Reset Offset,
AV-42C_mfd_map:T4,Label for an MFD button (short!).,MODE,
AV-42C_mfd_map:T4_tooltip,Tooltip for an MFD button.,Toggle Rotation Mode,
AV-42C_mfd_map:T5,Label for an MFD button (short!).,SOI,
AV-42C_mfd_map:T5_tooltip,Tooltip for an MFD button.,Toggle Sensor of Interest,
AV-42C_mfd_map:L4,Label for an MFD button (short!).,FUEL,
AV-42C_mfd_map:L4_tooltip,Tooltip for an MFD button.,Set Fuel Waypoint,
AV-42C_mfd_map:L3,Label for an MFD button (short!).,RTB,
AV-42C_mfd_map:L3_tooltip,Tooltip for an MFD button.,Set Return to Base Waypoint,
AV-42C_mfd_map:L2,Label for an MFD button (short!).,OBJ,
AV-42C_mfd_map:L2_tooltip,Tooltip for an MFD button.,Set Objective Waypoint,
AV-42C_mfd_map:B1,Label for an MFD button (short!).,ALT-,
AV-42C_mfd_map:B1_tooltip,Tooltip for an MFD button.,Lower Target Alt,
AV-42C_mfd_map:B2,Label for an MFD button (short!).,ALT+,
AV-42C_mfd_map:B2_tooltip,Tooltip for an MFD button.,Raise Target Alt,
AV-42C_mfd_map:B3,Label for an MFD button (short!).,GPS-S,
AV-42C_mfd_map:B3_tooltip,Tooltip for an MFD button.,Send GPS Target,
AV-42C_mfd_options:L2_tooltip,Tooltip for an MFD button.,Unit Options,
AV-42C_mfd_options:L3_tooltip,Tooltip for an MFD button.,Fuel Settings,
AV-42C_mfd_options:L4_tooltip,Tooltip for an MFD button.,Altitude Warning Settings,
AV-42C_mfd_options:R3_tooltip,Tooltip for an MFD button.,Joystick Sensitivity,
AV-42C_mfd_unitOptions:L2_tooltip,Tooltip for an MFD button.,Altitude Units,
AV-42C_mfd_unitOptions:L3_tooltip,Tooltip for an MFD button.,Distance Units,
AV-42C_mfd_unitOptions:L4_tooltip,Tooltip for an MFD button.,Speed Units,
AV-42C_mfd_unitOptions:T5_tooltip,Tooltip for an MFD button.,Back,
AV-42C_mfd_fuelConfig:T5_tooltip,Tooltip for an MFD button.,Back,
AV-42C_mfd_fuelConfig:L4_tooltip,Tooltip for an MFD button.,Bingo Fuel +,
AV-42C_mfd_fuelConfig:L5_tooltip,Tooltip for an MFD button.,Bingo Fuel -,
altWarn_mode_radar,Radar altimeter mode for altitude warning settings.,RADAR,
altWarn_mode_asl,Sea level/barometric altimeter mode for altitude warning settings.,ASL,
AV-42C_mfd_altitudeSettings:T5_tooltip,Tooltip for an MFD button.,Back,
AV-42C_mfd_altitudeSettings:L3_tooltip,Tooltip for an MFD button.,Min Alt +,
AV-42C_mfd_altitudeSettings:L4_tooltip,Tooltip for an MFD button.,Min Alt -,
AV-42C_mfd_altitudeSettings:R3_tooltip,Tooltip for an MFD button.,Max Alt +,
AV-42C_mfd_altitudeSettings:R4_tooltip,Tooltip for an MFD button.,Max Alt -,
AV-42C_mfd_altitudeSettings:L2_tooltip,Tooltip for an MFD button.,Toggle Alt Mode,
AV-42C_mfd_gpsTgts:T2,Label for an MFD button (short!).,MAP,
AV-42C_mfd_gpsTgts:T2_tooltip,Tooltip for an MFD button.,Nav Map,
AV-42C_mfd_gpsTgts:T3,Label for an MFD button (short!).,WPT,
AV-42C_mfd_gpsTgts:T3_tooltip,Tooltip for an MFD button.,Set Waypoints,
AV-42C_mfd_gpsTgts:L2_tooltip,Tooltip for an MFD button.,Previous Group,
AV-42C_mfd_gpsTgts:L3_tooltip,Tooltip for an MFD button.,Next Group,
AV-42C_mfd_gpsTgts:B1_tooltip,Tooltip for an MFD button.,Create Group,
AV-42C_mfd_gpsTgts:B2_tooltip,Tooltip for an MFD button.,Delete Group,
AV-42C_mfd_gpsTgts:B4_tooltip,Tooltip for an MFD button.,Delete Target,
AV-42C_mfd_gpsTgts:R3_tooltip,Tooltip for an MFD button.,Next Target,
AV-42C_mfd_gpsTgts:R2_tooltip,Tooltip for an MFD button.,Previous Target,
AV-42C_mfd_gpsTgts:R1_tooltip,Tooltip for an MFD button.,Toggle Path Mode,
AV-42C_mfd_gpsTgts:R4_tooltip,Tooltip for an MFD button.,Move Up,
AV-42C_mfd_gpsTgts:R5_tooltip,Tooltip for an MFD button.,MoveDown,
AV-42C_mfd_gpsTgts:B5,Label for an MFD button (short!).,SEND,
